Hugo Symbol 	OncoKB Annotated 	Oncogene /TSG 	MSK-IMPACT 	MSK-HEME 	Foundation One 	Foundation One Heme 	Vogelstein 	Sanger CGC 	# of Resources
ABL1 		Oncogene 							7
AKT1 		Oncogene 							7
ALK 		Oncogene 							7
AMER1 		TSG 							7
APC 		TSG 							7
AR 		Oncogene 							7
ARID1A 		TSG 							7
ARID2 		TSG 							7
ASXL1 		TSG 							7
ATM 		TSG 							7
ATRX 		TSG 							7
AXIN1 		TSG 							7
BAP1 		TSG 							7
BCL2 		Oncogene 							7
BCOR 		TSG 							7
BRAF 		Oncogene 							7
BRCA1 		TSG 							7
BRCA2 		TSG 							7
CARD11 		Oncogene 							7
CBL 		TSG 							7
CDC73 		TSG 							7
CDH1 		TSG 							7
CDKN2A 		TSG 							7
CEBPA 		TSG 							7
CIC 		TSG 							7
CREBBP 		TSG 							7
CRLF2 		Oncogene 							7
CTNNB1 		Oncogene 							7
DAXX 		TSG 							7
DNMT3A 		TSG 							7
EGFR 		Oncogene 							7
EP300 		TSG 							7
ERBB2 		Oncogene 							7
EZH2 		Oncogene,TSG 							7
FBXW7 		TSG 							7
FGFR2 		Oncogene 							7
FGFR3 		Oncogene 							7
FLT3 		Oncogene 							7
FOXL2 		Oncogene,TSG 							7
GATA1 									7
GATA2 		Oncogene 							7
GATA3 		Oncogene,TSG 							7
GNA11 		Oncogene 							7
GNAQ 		Oncogene 							7
GNAS 		Oncogene 							7
HNF1A 		TSG 							7
HRAS 		Oncogene 							7
IDH1 		Oncogene 							7
IDH2 		Oncogene 							7
JAK1 		Oncogene,TSG 							7
JAK2 		Oncogene 							7
JAK3 		Oncogene 							7
KDM5C 		TSG 							7
KDM6A 		TSG 							7
KIT 		Oncogene 							7
KMT2C 		TSG 							7
KRAS 		Oncogene 							7
MAP2K1 		Oncogene 							7
MAP3K1 		TSG 							7
MED12 		Oncogene,TSG 							7
MEN1 		TSG 							7
MET 		Oncogene 							7
MLH1 		TSG 							7
MPL 		Oncogene 							7
MSH2 		TSG 							7
MSH6 		TSG 							7
MYD88 		Oncogene 							7
NF1 		TSG 							7
NF2 		TSG 							7
NFE2L2 		Oncogene 							7
NOTCH1 		Oncogene,TSG 							7
NOTCH2 		Oncogene,TSG 							7
NPM1 		TSG 							7
NRAS 		Oncogene 							7
PAX5 		TSG 							7
PBRM1 		TSG 							7
PDGFRA 		Oncogene 							7
PIK3CA 		Oncogene 							7
PIK3R1 		TSG 							7
PPP2R1A 		TSG 							7
PRDM1 		TSG 							7
PTCH1 		TSG 							7
PTEN 		TSG 							7
PTPN11 		Oncogene 							7
RB1 		TSG 							7
RET 		Oncogene 							7
RNF43 		TSG 							7
RUNX1 		TSG 							7
SETD2 		TSG 							7
SF3B1 		Oncogene 							7
SMAD2 		TSG 							7
SMAD4 		TSG 							7
SMARCA4 		TSG 							7
SMARCB1 		TSG 							7
SMO 		Oncogene 							7
SOCS1 		TSG 							7
SPOP 		TSG 							7
STAG2 		TSG 							7
STK11 		TSG 							7
TET2 		TSG 							7
TNFAIP3 		TSG 							7
TP53 		TSG 							7
TSC1 		TSG 							7
TSHR 		Oncogene 							7
U2AF1 		Oncogene 							7
VHL 		TSG 							7
WT1 		Oncogene,TSG 							7
AKT2 		Oncogene 							6
ARID1B 		TSG 							6
ATR 		TSG 							6
B2M 		TSG 							6
BLM 		TSG 							6
BRD4 		Oncogene 							6
BRIP1 		TSG 							6
BTK 		Oncogene 							6
CBFB 		TSG 							6
CCND1 		Oncogene 							6
CCND2 		Oncogene 							6
CCND3 		Oncogene 							6
CCNE1 		Oncogene 							6
CD274 									6
CD79A 		Oncogene 							6
CD79B 		Oncogene 							6
CDK12 		TSG 							6
CDK4 		Oncogene 							6
CDK6 		Oncogene 							6
CDKN1B 		TSG 							6
CDKN2C 		TSG 							6
CHEK2 		TSG 							6
CSF1R 									6
CTCF 		TSG 							6
CYLD 		TSG 							6
DDR2 		Oncogene 							6
ERBB3 		Oncogene 							6
ERBB4 		Oncogene 							6
ERG 		Oncogene 							6
ESR1 		Oncogene 							6
ETV6 		Oncogene 							6
FAM46C 									6
FANCA 		TSG 							6
FANCC 		TSG 							6
FGFR1 		Oncogene 							6
FGFR4 		Oncogene 							6
FLCN 		TSG 							6
FLT4 		Oncogene 							6
FOXP1 		Oncogene,TSG 							6
GRIN2A 		TSG 							6
HIST1H3B 									6
IKZF1 									6
IL7R 		Oncogene 							6
IRF4 									6
JUN 		Oncogene 							6
KDM5A 		Oncogene 							6
KDR 		Oncogene 							6
KEAP1 		TSG 							6
KMT2A 		TSG 							6
KMT2D 		TSG 							6
LMO1 		Oncogene 							6
MAP2K2 		Oncogene 							6
MAP2K4 		TSG 							6
MDM2 		Oncogene 							6
MDM4 		Oncogene 							6
MITF 		Oncogene,TSG 							6
MTOR 		Oncogene 							6
MUTYH 		TSG 							6
MYC 		Oncogene 							6
